PredictedSentiment,TweetText,CleanedTweet
neutral,"Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple",meet siri iphone butler click link amazed http colvffdcel apple
neutral,"just my man @apple store in @schaumburg, whoops!!!!😁",apple store schaumburg whoop
positive,"So, I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac",using work never ever feel worst speaker ever apple spoiled imamac
neutral,I ♥ @Apple http://t.co/a8on3IAa,apple http
neutral,@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry,apple upgrade imessage good luck surviving blackberry
positive,Loving #iOS5 !! #awesome @Apple,loving awesome apple
positive,"RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}",mattyriesz kathrynyee right iphone must addicted welcome apple club
negative,Thank you @apple for your innovations. Exhibit A: Guy playing with Facetime instead of watching game at sports bar. http://t.co/oU7K39ge,thank apple innovation exhibit playing facetime instead watching game sport http coou
neutral,@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??,blackberry hiss apple wuhu berry powered technology actually work
neutral,@apple by far the best iPod and first time iPhone ever.... Good job guys,apple best ipod first time iphone ever good guy
neutral,Thank you Steve @apple store 5th av. http://t.co/nSAisriP,thank steve apple store http consaisrip
positive,@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?,apple siri witchcraft next googleresearch lead lost
neutral,"@Apple iOS 5 is sweet! Notifications, phone search covers mail now, wifi sync, iCloud backup and integrated Twitter are all well done.",apple sweet notification phone search cover mail wifi sync icloud backup integrated twitter well done
neutral,RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...,katebetts another great james stewart story today time importance architecture apple retail success http
neutral,Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s,another great james stewart story today time importance architecture apple retail success http cokniz
neutral,I &lt;3 @apple http://t.co/ondXWpEr,apple http coondxwper
neutral,Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.,welcome twitter world markstuver apple thanks guy
neutral,Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D,impressive service apple genius metro centre power cable replaced free booked screen replacement free
negative,RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple,lavoy nice apple store replaced phone gratis showed hairline crack screen thanks apple
negative,the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple,nice apple store replaced phone gratis showed hairline crack screen thanks apple
positive,"My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple.",iphone battery lasted longer happened since edge iphone nice apple
neutral,It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!,would taken min write blackberry thank apple converting showing grass greener
neutral,RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple,herahussain rickysinghpt backside phone impressed apple
neutral,@RickySinghPT got a new backside for my eye phone! V impressed with @apple,rickysinghpt backside phone impressed apple
negative,#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things,iphone space http cojinnhvwz amazing creative apple product inspire people unbelievable thing
neutral,Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!,thank apple making ipad feel like
neutral,"_ibertaddigital.tv/ iPad a briliant SteveJobs produck ,http://t.co/00ohfLY6
@Apple present... http://t.co/DBbWSDpx",ibertaddigital ipad briliant stevejobs produck http ohfly apple present http codbbwsdpx
neutral,Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple,using awsome ipad love love macbook ipod amazing love apple
negative,@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required,apple upgrade done much better feature feature required
neutral,New iOS 5 update is THE BEST. iloveyou @apple,update best iloveyou apple
positive,"Finally got my iPhone 4S, thanks @Apple. Stupid @att. Learned my lesson.",finally iphone thanks apple stupid learned lesson
neutral,"I absolutely love my iPhone 4S. Thank you, Steve and @apple.",absolutely love iphone thank steve apple
neutral,@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s,apple invented product actually get brother call parent get going amazing siri ipod
neutral,"dammit, listening to siri is making me want to upgrade. well played @apple.",dammit listening siri making want upgrade well played apple
neutral,"Create new folders from within your photo album in #iOS5, finally!! Thanks @Apple, that's been a thorn in my side for a while. #newfeature",create folder within photo album finally thanks apple thorn side newfeature
neutral,Video card on @Kimaris workstation died after just six months. So long @hp. Hello @apple.,video card kimaris workstation died month long hello apple
positive,@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!,blackberry facebook really make throw blackberry trash apple iphone facebook upload issue
neutral,#iOS5 update submitted to @apple! Thanks for all the support!,update submitted apple thanks support
neutral,Awesome service from the @apple store in pc. Thanks chris!,awesome service apple store thanks chris
neutral,RT @To1ne: .@apple thanks for fixing this... http://t.co/wTj1ogDO,apple thanks fixing http cowtj ogdo
positive,I am crazy about #iOS5 . The photo cropping is the best! @apple,crazy photo cropping best apple
neutral,.@apple thanks for fixing this... http://t.co/wTj1ogDO,apple thanks fixing http cowtj ogdo
neutral,Hell yes!!! Got my contacts back!!  Thanks @apple,hell contact back thanks apple
negative,RT @SawyerHartman: I FU*KING LOVE YOU @APPLE this phone is the best thing ever !! SIRI = BEST THING EVER MADE,sawyerhartman king love apple phone best thing ever siri best thing ever made
positive,@apple has changed life.,apple changed life
neutral,Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!,prop apple employee charge replace back plate iphone made
positive,"@jonsibley Actually, the @Apple  mouse is pretty sweet man.",jonsibley actually apple mouse pretty sweet
neutral,The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple,iphone amazing siri voice recognition absolutely step previous attempt bravo apple
neutral,Finally got the @apple IPhone thanks to @sprint getting with the times,finally apple iphone thanks sprint getting time
neutral,#iOs5 is nice and as it had to be ! Thanks @Apple,nice thanks apple
neutral,Good support fm Kevin @apple #Bellevue store 4 biz customers TY!,good support kevin apple bellevue store customer
neutral,Just downloaded IOS 5. It's better than I expected! #thankyou @apple,downloaded better expected thankyou apple
neutral,@Apple: Siri is amazing!!! I'm in love!,apple siri amazing love
neutral,Have never had such poor customer service at @Apple before! What happened? (@ Apple Store w/ 2 others) http://t.co/GKlXMUi6,never poor customer service apple happened apple store others http cogklxmui
neutral,"@Apple your service experience is really fucking slipping (except for cute, eyelash batting girlies). (@ Apple Store) http://t.co/dOHDEnMg",apple service experience really fucking slipping except cute eyelash batting girlies apple store http codohdenmg
neutral,Had ma Ipas not 24 hours an I jailbroke it...now its SHAGGED itunes won't letme restore it @apple SYM!!!!,ipas hour jailbroke shagged itunes letme restore apple
neutral,@hailfire101 @Irvysan They are... then @apple happened and snatched Siri so they could be douchebags and say 'it's ours!',hailfire irvysan apple happened snatched siri could douchebags
positive,What was @apple thinking making #Siri totally dependent on a network connection? Siri + @ATT = utter frustration.,apple thinking making siri totally dependent network connection siri utter frustration
positive,Wow the Genius Bar Reservation Line @Apple is ridic right now - ___- I am not amused. #ugh,genius reservation line apple ridic right amused
neutral,"Where is my iPhone!?!?!?!
@apple",iphone apple
neutral,@apple battery life suck on iOS 5,apple battery life suck
neutral,An apple update has seemed to render my work machine incapable of opening HDV video. Thanks @Apple. Zero useful productivity today.,apple update seemed render work machine incapable opening video thanks apple zero useful productivity today
neutral,@apple I committed to your cloud storage iDisk and now it's raining :-( so soon no more iDisk.  Any plans for a new service for storage?,apple committed cloud storage idisk raining soon idisk plan service storage
neutral,"Hey @apple why can't I share a reminder list from my iPhone?
Also why can't I login to the iCloud webpage to modify sharing from my phone?",apple share reminder list iphone also login icloud webpage modify sharing phone
neutral,Apparently fuzzball crashes on #iOS5. Congratulations @apple on another incompatible upgrade,apparently fuzzball crash congratulation apple another incompatible upgrade
neutral,could @apple lion please integrate vertical spaces in mission control. this horizontal business is making me nauseous,could apple lion please integrate vertical space mission control horizontal business making nauseous
neutral,Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f,someone explain whhyy apple distributing phone sprint store really http couf
neutral,"GAH. @apple iOS 5 opens text messages painfully slow, on top of 3 restore attempts 2 succeed. Early adopterness gets better of me.",apple open text message painfully slow restore attempt succeed early adopterness get better
neutral,Dear @apple: Why did all my PDFs and ePub files disappear from ibooks in my iPhone post ios5 upgrade? This hurts. #3GS #needsomethingtoread,dear apple pdfs epub file disappear ibooks iphone post upgrade hurt needsomethingtoread
positive,“@CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.” &lt;&lt; check Settings: 8 times more App usage in iOS 5,lie apple battery iphone definitely better check setting time usage
neutral,As a huge podcast fan - I really feel like @Apple dropped the ball on this one. http://t.co/wvzPrbCI via @Carrypad,huge podcast really feel like apple dropped ball http cowvzprbci carrypad
negative,I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN,really like siri voice perhaps apple star war voice like garmin http copsujg
negative,"“@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.” in NZ?",carlton really hate dealing brain dead people apple store good product customer service suck
negative,"I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.",really hate dealing brain dead people apple store good product customer service suck
neutral,"You can make photo albums in the Photos app with iOS 5, but can't password protect them? Um... @apple, fix that. Quickly.",make photo album photo password protect apple quickly
neutral,Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall,anyone else seeing missing signal bar iphone upgrade applecanada apple forstall
positive,RT @CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.,lie apple battery iphone definitely better
negative,"@apple If you want to know what customers think dont send updates with the ""noreply"" return address. Who invented that anyway. #useless",apple want know customer think dont send update noreply return address invented anyway useless
neutral,"Every time I try the voice control on my iPod Touch to send an iMessage, it starts playing ""Who Knew"" by Pink.  Still not Flawless @Apple",every time voice control ipod touch send imessage start playing knew pink still flawless apple
positive,should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience,studying work hold apple hurry fuck nopatience
neutral,Ok Hindi keyboard in #iOS5 is something to cheer about.  But @apple  what about  support for 20+ missing Indian languages!? #FAIL,hindi keyboard something cheer apple support missing indian language fail
neutral,"RT @ScottDugas: Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade  ...",scottdugas warning iphone apps spontaneously loose data might fault http sesvwwm downgrade
neutral,@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx,betweensundays yeah option hopefully apple figure
neutral,"""Waiting for items to copy"" in Itunes after everything DID copy goes on, and on, and on.  Come on @Apple, what the hell?",waiting item copy itunes everything copy go come apple hell
positive,@Apple unhappy again with service/product quality. Won't buy @Apple again.,apple unhappy serviceproduct quality apple
positive,Lies @apple. the battery on this new iPhone4S is definitely not any better.,lie apple battery iphone definitely better
neutral,"“@philipgrey: dear @apple, why you gotta go change the way &lt;input type=""number""&gt; is handled out of the blue?”",philipgrey dear apple got ta change input type number handled blue
neutral,"Been on hold with @apple customer service for 25 minutes. Wow, lt's like they're #timewarnercable.",hold apple customer service minute like timewarnercable
neutral,anyone else stuck in duped calendar/mail/battery sucking @apple hell? #iCloud and #OSX Lion are a disappointment,anyone else stuck duped calendarmailbattery sucking apple hell icloud lion disappointment
positive,For being the inventor of the computer mouse — Why is it that @Apple has never made one that is not a complete piece of fucking shit?!!?,inventor computer mouse apple never made complete piece fucking shit
negative,"@Apple you're killing me. Excited about iOS5 no longer- tragic battery drain, genius bar wants to replace the battery. Really?",apple killing excited longer tragic battery drain genius want replace battery really
positive,1st impressions  of #iOS5- Disappointed w upgrade restore. Lot of apps & folders missing @apple do  how much time went in2 orging it? #fail,impression disappointed upgrade restore apps folder missing apple much time went orging fail
neutral,@PrJusto Don't question the @Apple they will remember your dissent!,prjusto question apple remember dissent
positive,"@apple: Multiple times siri is ""having trouble connecting to the network.""  Siri needs servers (and some exercise!)",apple multiple time siri trouble connecting network siri need server exercise
neutral,So my iMessage still isn't working! @apple,imessage still working apple
neutral,RT @JimMcNiel: if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is havin ...,jimmcniel apple resolve siri network issue need rename great product sorri else havin
neutral,"dear @apple, why you gotta go change the way &lt;input type=""number""&gt; is handled out of the blue?",dear apple got ta change input type number handled blue
neutral,Ugh. WTF is up with all the bottlenecks @paypal @apple?,bottleneck paypal apple
positive,+1  RT @Doug_Newton: @apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!,doug newton apple please siri connect network
neutral,@apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!,apple please siri connect network
neutral,if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is having issues?,apple resolve siri network issue need rename great product sorri else issue
neutral,any chance @apple will release good headphones that dont blast music outside the ears? #iphone #ipod its quite obnoxious,chance apple release good headphone dont blast music outside ear iphone ipod quite obnoxious
neutral,".@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more, its a disappointment #wtf",apple record quarter bunch professional guesser analyst wanted disappointment
neutral,@Apple how fun wouldn't it be if it was possible to integrate  ( soon to be named ) with notifications?,apple possible integrate soon named notification
neutral,"Interesting read on war b/w @Apple & @Samsung- http://t.co/Vt9d24Yi -using latter, agree lack of innovation, but better specs at same price!",interesting read apple samsung http covt using latter agree lack innovation better spec price
neutral,RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc ...,adamnash takeaway apple earnings call even apple need iphone release every month stay competitive
neutral,The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget,takeaway apple earnings call even apple need iphone release every month stay competitive hblodget
neutral,Today's headline: @apple reports lower 4Q earnings. Headline in 3 months: @Apple reports record Q1 earnings.,today headline apple report lower earnings headline month apple report record earnings
neutral,"Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/XVcch6Os #PampersHelloApps""",apple ipod touch mommy gaga pampers hello world baby memory http coxvcch pampershelloapps
neutral,@apple expanded the app store to more than 20 new countries in the december quarter,apple expanded store country december quarter
positive,@Apple will be rolling out iPhone 4S to more than 20 more countries by the end of the month.,apple rolling iphone country month
neutral,Is it JUST a coincidence that @Apple named their virtual assistant after Tom and Katie's robot daughter?,coincidence apple named virtual assistant katie robot daughter
neutral,Good or Bad results for @Apple ? Depends on who you ask apparently http://t.co/yDH8ffxE,good result apple depends apparently http coydh ffxe
positive,Interesting times when increasing your revenue from $20B to $28B in a recession is considered a disappointment. @apple,interesting time increasing revenue recession considered disappointment apple
neutral,People are waiting in line @apple for phones at 1:30 on a Tuesday! Don't you people have Jobs(no pun intended?)???,people waiting line apple phone tuesday people job intended
negative,"@Apple Would much rather get outta this having a ( see pic ) and have fun with this "" Have your friends choose music"" http://t.co/7IiHbr4J",apple would much rather outta friend choose music http iihbr
neutral,RT @CRMStrategies: Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @phil ...,crmstrategies great tech http jgrobp fastcompany profile amazon apple google facebook cnbc phil
positive,@apple gonna see if anyone stayed logged into their fb or twitter #TroubleMaker,apple gon na anyone stayed logged twitter troublemaker
neutral,@leg3nd @apple the new iPhone?,apple iphone
