Sentiment,TweetId,TweetText
negative,1.26E+17,The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss
negative,1.26E+17,Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple
negative,1.26E+17,"@paulens It surprises me that @Apple throws up an error alert about authorizing, and there's no ""Authorize this computer"" button."
negative,1.26E+17,@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!
negative,1.26E+17,FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.
negative,1.26E+17,"Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please."
negative,1.26E+17,OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS
negative,1.26E+17,@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise… why doesn't it just auto-authorise it when I sign into iTunes? Grrrr...
negative,1.26E+17,"Seriously - I have absolutely no offing clue what @Apple means by ""authorization"", nor how to do it."
negative,1.26E+17,"Boy, could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? ""You must authorize this computer…"""
negative,1.26E+17,"shit, shit, shit. IOS5 update ate all my apps, data and media just like @apple said it would. This is going to take some time to rebuild."
negative,1.26E+17,. @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!
negative,1.26E+17,Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance
negative,1.26E+17,Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity
negative,1.26E+17,"I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!"
negative,1.26E+17,It would be great If @Apple would send my new phone. #frustrated
negative,1.26E+17,@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.
negative,1.26E+17,"@rogerweir no but I have the option of a  replacement iPhone 4s ?
Not sure if I want one after having 2 duff iPhones.
@O2 @iphone4s @apple"
negative,1.26E+17,So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?
negative,1.26E+17,"You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?"
negative,1.26E+17,removing all @apple shit.
negative,1.26E+17,So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple
negative,1.26E+17,What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR's battery isn't removable.
negative,1.26E+17,@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em
negative,1.26E+17,Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise
negative,1.26E+17,"@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :("
negative,1.26E+17,@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.
negative,1.26E+17,Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat
negative,1.26E+17,@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO
negative,1.26E+17,Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.
negative,1.26E+17,"@FishMama: If you made a purchase, just wait for the @apple survey! hate going b/c of the bad #custserv"
negative,1.26E+17,Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!
negative,1.26E+17,"@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the ""newest"" model are suckers..."
negative,1.26E+17,Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.
negative,1.26E+17,@APPLE Wow @MOTOROLA Just crushed your dreams....
negative,1.26E+17,"RT @phxguy88: Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR"
negative,1.26E+17,"Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR"
negative,1.26E+17,"@apple, 
No, I won't wait until thursday for an available appointment just so a 'genius' can tell me I'm shit out of luck. #now"
negative,1.26E+17,WTF?!?! @apple the new iOS 5 doesn't allow you NOT to get push notifications from newstand? and SIRI just keeps yapping FUCK!
negative,1.26E+17,"@Apple, on the #iPad with #iOS5, why has the Messages Icon been included when it can't be used?"
negative,1.26E+17,@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T
negative,1.26E+17,Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii
negative,1.26E+17,@apple why is my iPhone battery so crappy #fail
negative,1.26E+17,My @Apple @macbook keyboard will not type :(
negative,1.26E+17,"Why doesn't @apple iCloud sync Stickies? They've always been around, just nothing every progressed w/ them!! Why apple why?  @gruber"
negative,1.26E+17,"@apple, your new ""Save a Version"" function in Pages is absolutely the most awful, interrupting, counter-intuitive piece of crap in the world"
negative,1.26E+17,I hate my @apple computer.  Thats 3500 dollars down the drain.
negative,1.26E+17,@apple my iPhone is charging very slowly!!!!!
negative,1.26E+17,"@Apple #iOS5 gm on ipad1 is very slow wash better on beta7/8 solve this problem, or give me the ipad2"
negative,1.26E+17,"@apple Wish I could pick month, day, and YEAR when setting a new calendar item on my iPhone. Why hasn't the new iOS fixed this yet?!"
negative,1.26E+17,"@Apple iTunes is the worst program ever. For such a great phone, you make some awful software."
negative,1.26E+17,One would think the voice recognition on the @apple tech support line would work a little better.
negative,1.26E+17,"@apple $319 to repair my iPad 2, Apple you've lost me and my $700 a year, Android here I come!"
negative,1.26E+17,"@azee1v1 @apple @umber Proper consolidation, proper syncing, stop losing my PURCHASED items, checkboxes that do what you think they will do."
negative,1.26E+17,@AsimRang @apple @umber the desktop app is wack though
negative,1.26E+17,I made a reservation and yet I still have to wait in line. Humpt! Oh @apple (@ Apple Store w/ 2 others) http://t.co/JZmVBdNm
negative,1.26E+17,Frustrated that I bought a new macbook pro from @apple only to find it doesnt ship with media! #expensivepaperweight
negative,1.26E+17,Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can't handle it. 200 mb of data just because #
negative,1.26E+17,#DontBeMadAtMeBecause #Android is by far better than @Apple
negative,1.26E+17,@apple is there a problem with iOS 5 that is preventing audio apps and audio functions from operating properly? I keep losing sound.
negative,1.26E+17,@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt
negative,1.26E+17,Hey @Apple: stop sending your automatically-depreciate-all-iPhones-older-than-the-4s signal. My #iPhone4 is dying rapidly processor-wise.
negative,1.26E+17,Only thing bad about the new @canon camera is that it has two compact flash cards... not one of SD. SD goes in my @apple computer. Damn you!
negative,1.26E+17,Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???
negative,1.26E+17,fuck u @apple
negative,1.26E+17,oh and prolly ganna be late to work bc @apple has screwed me and my phone has my only alarm on it
negative,1.26E+17,why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple
negative,1.26E+17,. if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed
negative,1.26E+17,"iMessage doesn't show the time a message was sent, annoying @apple"
negative,1.26E+17,Like @apple da fuck is this shit?  http://t.co/nb4DHlSg
negative,1.26E+17,RT @CircusTK: I'm wit chu!! “@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my t ...
negative,1.26E+17,Damn it @Apple!! Whatchu done to my phone??
negative,1.26E+17,"Samsung seeks iPhone 4S ban in Japan and Australia
Patent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk"
negative,1.26E+17,"@apple, why is it every time there is iOS software update my iPad goes dead and I need to totally restore? #fail"
negative,1.26E+17,@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??
negative,1.26E+17,RT @RedDeerSteph: @Joelplane @apple I hear you! I've had trouble with my 3 & now 4. I've even turned down brightness. #andshuttingdownru ...
negative,1.26E+17,@Joelplane @apple I hear you! I've had trouble with my 3 & now 4. I've even turned down brightness. #andshuttingdownrunningprograms #nohelp
negative,1.26E+17,@albertmal88 remember @apple is evil. #icloud entering the #dropbox market
negative,1.26E+17,9% now on my second full charge of the day. Pissed @Apple
negative,1.26E+17,RT @ShayDiddy: @CircusTK @ups @apple both of them are bs!!! How do u tell me go between a certain time ONLY and the muh fuh is closed!
negative,1.26E+17,I'm wit chu!! “@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my time!”
negative,1.26E+17,"ugh! @apple, you’re reservation page for the iPhone is NOT working."
negative,1.26E+17,iTunes is @apple's worst product. Worse than the #Newton or the hockey puck mouse. It's utterly painful to use.
negative,1.26E+17,"Deár iCloud I HATE U , AND I HOPE YOU DIE , YOU ARE THE WORST FUCKING INVENTION IN THE WORLD , FUCK YOUUUUUUUUUUUU #iCloud @apple @stevejobs"
negative,1.26E+17,i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account... thanks @Apple
negative,1.26E+17,Suddenly lost all address book on @3GS iPhone. And someone was using my @Apple ID. It all fucked up.
negative,1.26E+17,oh.. my iphone is overcapacity huh?! -____-  @Apple won't let me be great!!!
negative,1.26E+17,Issues with updating iTunes on my windows pc - they really are not compatible.... Sent more time talking to @Apple care than using it!!
negative,1.26E+17,@apple u guys are gay
negative,1.26E+17,"Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE, Y RESTRICTIONS ON MY SMS?  Y NO TEXTS.... #iOS5 #iOS5atemydingo"
negative,1.26E+17,none of my apps work after the new ios from @apple. what do i do?!?
negative,1.26E+17,"Seemingly endless loop of calls to @apple, @ups, @verizonwireless to investigate my missing #iphone4s. #crankywithnophone"
negative,1.26E+17,@Wisconsin_Mommy @apple that's terrible!  I hope you get an apology!
negative,1.26E+17,@zombiebomber have been on the phone with @verizonwireless and @apple pretty much ever since then. Really annoyed.
negative,1.26E+17,"@chascouponmom @apple I get they are busy w/ the new phone, but I just wanted to buy a stylus. they made me wait forever outside & never"
negative,1.26E+17,"@apple @iphone Please deliver my daughter's i4s, she is driving me nuts #iphone"
negative,1.26E+17,"I'm givin' this stupid @apple reserve system 2days… If I cant get reservation, I'll never buy any Apple products… (yup I hate contracts)"
negative,1.26E+17,"@sprint @bestbuy still no word on my iPhone4s preorder.  Best Buy blames Sprint, Sprint blames @apple, I just want an honest answer.  #help"
negative,1.26E+17,"Hey @apple, the SMS full message is complete shit. Yes, I'm annoyed."
negative,1.26E+17,"@Apple - #Siri is not working due to ""network problem""? Seriously? Can you fix this? #iPhone4s #Fail"
negative,1.26E+17,"@trisha_ps @iCloud is Cloudy. @apple tech, not very techy."
negative,1.26E+17,"@electricsoup It has to connect to @Apple to process commands, which it is failing to do right now"
negative,1.26E+17,"See @Apple, that what's happen when you release iPhone 4S with same crappy design as the old phone!"
negative,1.26E+17,This. RT @bonkoif Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable
negative,1.26E+17,Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable
negative,1.26E+17,"Spoke to an @Apple rep on phone & could hear her tv blaring in the bg.  She said, ""I can't actually help u, just direct u back to the web"""
negative,1.26E+17,What's wrong with Siri today @apple
negative,1.26E+17,@Apple Siri is down!
negative,1.26E+17,I'm suspecting @Apple timed the health-decline of my iPhone 4 perfectly with the iPhone 4s release... My battery is seriously ailing.
negative,1.26E+17,on hold for another half hour. phone is ringing but no one is picking up.@apple you stink.
negative,1.26E+17,"Ok this @Apple software update for the #iphone is taking waaaaay too long!
#annoyed"
negative,1.26E+17,@Apple would do better to inform customers properly about migrating to #iCloud - many complaints lead to #image damage http://t.co/QL7zmPpO
negative,1.26E+17,@apple does iOS 5 rape your battery life? or am I just using my phone a lot since getting it
negative,1.26E+17,"@jane73 @Gazmaz hopefully it's a small bug @Apple must be fixing it. RIGHT  APPLE }:0( 
#itjustworks"
negative,1.26E+17,"@samsung, @apple, you do realise you're just really pissing off the customer base AS WELL AS looking petty."
negative,1.26E+17,@Apple - why do I have to have apps I am updating in their original 'folder' location? That was painful.
negative,1.26E+17,@apple domain fail. Open 2 hrs late for walk in ppl. Store was empty and i only need a skin 4 my screen. You represent customer service FAIL
negative,1.26E+17,@BrianMincey @apple the chipsets tear through battery life. Coworker has a htc thunderbolt that he gets about 3 hours of life.
negative,1.26E+17,I wish the Apple updater would stop trying to ram iTunes down my throat. I don't own a pissing iPhone @apple
negative,1.26E+17,Is it me or does my #iPhone run slower since the #iOS 5 update? @apple @Verizon
negative,1.26E+17,Just searching with my voice on my 2 year old nexus one @apple.
negative,1.26E+17,"@apple, your update server has been timing out for a week. i had to force a restore w/the new #iOS5 software. lost all my stuff. thanks!"
negative,1.26E+17,"#appleupdates
2 success stories- iPhone & iPad 2.
Now been on phone to Apple 45 mins. iPad 1 WILL not. Wasting my time 
@apple
#Replaceit!"
negative,1.26E+17,"Thanks to a 90 minute wait on hold, half an hour actually talking to someone, the @Apple tech decides to send me an email to fix my phone"
negative,1.26E+17,I am very upset about and inconvenienced by this iphone update failed backup. @iphone @apple
negative,1.26E+17,but seriously @apple finance me a damn phone you greedy bastards! OR Santa...get your jolly ass in gear and get us a 4S - white plz
negative,1.26E+17,My schedule is 2 busy 2 spend UNquality time with @ATT @Apple 2 recover Iphone again-The mo' mobile I get the mo' immobile I is. Sync Not!
negative,1.26E+17,"Pondering the iOS update... From the sounds of @MikeFerri's difficulties, I may just hold off :/ @Apple, FIX IT!"
negative,1.26E+17,@twalve @apple you know the issues they have with DST and alarms :p
negative,1.26E+17,Why book @Apple Genius Bar if after 2.5 hours you still can't be served. Disappointing Apple Store Sydney. #thanksfornothing
negative,1.26E+17,Apparently @Apple genius training doesn't extend to clocks & service. They're half an hour late for my appointment and couldn't let me know?
negative,1.26E+17,Thanks @apple for an OS update that has only succesfully bricked my iPod.
negative,1.26E+17,"screw you @apple iOS 5. I can't download this crap, and I'm tired of trying. Get this problem figured out about my connection timing out"
negative,1.26E+17,Wow. iCloud's mail is down. 1st the iOS 5 upgrade issues and now this. I really hope this isn't @apple without Steve Jobs.
negative,1.26E+17,@apple  why don't you guys test your upgrades before you put them out. 15 1/2 hrs u guys wasted of my time yesterday. Thanks.
negative,1.26E+17,what is going on with all my @Apple products?! First my #iPad freezes (still is frozen) and then my #iPhone won't turn on!!! #techieTroubles
negative,1.26E+17,"#iPad in perpetual restore loop after trying to upgrade to #iOS5 :(
@apple sux without steve"
negative,1.26E+17,2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff.
negative,1.26E+17,It took @apple about 7 years just to figure out how to properly syncronize an iPhone.  WOW!  #ios5
negative,1.26E+17,@apple So I went to the 5th Ave store and was told I could wait about 4 hours to get a 4S. Needless to say I'm back at the hotel relaxing.
negative,1.26E+17,"Overall I am a fan of the iPhone 4S; however, my Siri has issues connecting to the network @Apple"
negative,1.26E+17,Terrible customer service at Los Gatos @Apple! Why do I have to pay $199 for a bad home button on my iPhone?!?
negative,1.26E+17,@Apple thank you for sucking so much. I cannot believe you would sell something online that isn't made
negative,1.26E+17,Having major battery drain issue since updating iPhone 4 to iOS 5.  Anyone else? @AppStore @iPhone @apple
negative,1.26E+17,Dear @apple please send me my Mac Book back surely the repair is done by now... Thanks!
negative,1.26E+17,"@Apple, #iOS5 on iPhone2 causes Camera apperature dilation problems & freeze."
negative,1.26E+17,"@Apple, #iOS5 #geolocation Suburbs with 2 words drops Map Pins in other States! Please fix."
negative,1.26E+17,"Sorry @apple, but #iMessage will never be what #BBM is. Disappointed."
negative,1.26E+17,Iphone 4s siri doesn't work for shit @apple
negative,1.26E+17,"Clarence Thomas must have designed the new OSX lion, tossing decades of workflow standards, @apple bring back “save as”! #autoSaveSucks"
negative,1.26E+17,"@semilshah yeah except that when you ask for a receipt, it takes them 30 minutes to figure out where it printed out. Fix that, @Apple!"
negative,1.26E+17,"RT @JDougyJ: hey @apple do you wanna fix my fucking playlist order, you piece of shit"
negative,1.26E+17,Bummer!  My @Yahoo! iPad fantasy football app keeps crashing; not sure if it's the app or the new @apple iOS 5. Only two apps running.
negative,1.26E+17,@Apple can suck my dick gotta restore my ipad #annoyed
negative,1.26E+17,The line at the @apple is just STUPID
negative,1.26E+17,"@nansen Man, that sux! @apple io5 upgrade a total #fail for you!"
negative,1.26E+17,"Dear @Apple Contacts, you are terrible. I just cleaned duplicates for 3 hours and they magically reappeared. Fix it."
negative,1.26E+17,"Is it too much to ask which app is incompatible, @apple? http://t.co/yKqip7nk"
negative,1.26E+17,Pissed with whoever designs keyboards with @apple for not having a home and end key.  working on the CLI i use those keys often
negative,1.26E+17,@NoVaTyler @apple Most of mine are gone too! Not recovered after I saved them b4 I upgraded my iPhone! Soooo pissed!
negative,1.26E+17,"hey @apple do you wanna fix my fucking playlist order, you piece of shit"
negative,1.26E+17,Siri is having a hard time remembering who my sister is. contact card needs space for family info. #iPhone4S @apple
negative,1.26E+17,"#ios5 getting sloppy @apple. U need to check your QA team. Too many issues with apps, data and syncing"
negative,1.26E+17,RT @nansen: so this SMS full message is known @apple issue with new iOS5 update. trying restore. When all else #fail - restore.
negative,1.26E+17,So glad that I paid $69 for this @apple care protection plan.  Been on hold for over 20 minutes now.  Great customer service. #NOT
negative,1.26E+17,not happy with @apple right now. the upgrade to my itouch4 took out my itouch and laptop. #help
negative,1.26E+17,All I can say about @Apple right now is #GoodRiddance — See? Cancer isn't ALL BAD!
negative,1.26E+17,@twitter can you look at problem on iPad where it won't open @ messages. It just crashes the app. You too @apple maybe your fault.
negative,1.26E+17,@apple What's the point of iCloud wireless updates when ios5 now forces me to use the computer to charge my ipod touch now? #worstupdateever
negative,1.26E+17,"@robert_terpstra no worries bud, ps: they're saying that the 4s is having a lot of network issues right now. (I'm @apple for mac problems)"
negative,1.26E+17,"I hate you @apple for not sending Toledo,oh @bestbuy any @iPhone for @verizon even after I pre ordered!!!"
negative,1.26E+17,"@pmphillips @apple If my non-Apple equipment broke this often, I guess I'd need an Asus genius bar. But it doesn't, so I don't :-)"
negative,1.26E+17,Why is the new @apple iPhone OS duplicating all my iCal events? There's 2 of everything. How do I fix it? (tried turning iCloud off)
negative,1.26E+17,"Dear @Apple, how convenient/handy/thoughtful/smart that after iPhone #ios5 update you're apps won't work anymore! (none!!!) :( #gr%\mbl^.%)"
negative,1.26E+17,Hey @Apple...I know Steve Jobs died & all but my Twitter for iPad app keeps crashing...Fix it...NOW..please..lol -F.Light
negative,1.26E+17,@apple not happy with Apple today. I did the suggested software update and now nothing works!!!
negative,1.26E+17,Smashed yet another #iPhone screen. When are @apple gonna make the phone more durable!!! Tired of fixing it myself!!!
negative,1.26E+17,"IOS5 has one problem, when i save someone in my contacts they don't show his nam becuz of the region/ +965 @apple #apple"
negative,1.26E+17,I sure as hell better be able to restore my calendar events. Terrible bug apple! @apple #icloud #anothericloudfail
negative,1.26E+17,I really hate that @apple won't let you hide the Newsstand app or move it into a folder. It serves no purpose for me.
negative,1.26E+17,Life was much easier when @apple and @BlackBerry were just fruits!
negative,1.26E+17,@apple No location reminders on ipad2! That was the point of updating to iOS 5
negative,1.26E+17,"Comparing @Office #live with @google #apps and @apple #iCloud , I do not see #iCloud leading the crowd. Do you agree ?"
negative,1.25E+17,"Turns out my computer isn't as fixed as it is meant to be. Fuck you @Apple, I'm going back to your Genius Bar to complain. #annoyed"
negative,1.25E+17,"If @apple doesn't fix iOS5 this week, I'm buying a droid #emptythreats"
negative,1.25E+17,@apple pls launch #Siri on iphone4 .. Disappointed after spending hours for upgrading to iOS5..
negative,1.25E+17,@apple you can suck it you and your fucking iPhones better be glad it's all I like cause the service Is fucking terrible
negative,1.25E+17,"This is the first time I've been unhappy with any @apple product... Disappointed, and the Internet seems as confused as I am right now."
negative,1.25E+17,"After a week or so with @Apple's #iOS5 I'm considering going back to #jailbroken 4.2 - same features as 5, plus more. Not as stable, though."
negative,1.25E+17,Had issues with #Siri reaching network today. Too many uses or my signal? @apple
negative,1.25E+17,The new iOS5 completely failed at upgrading the phone. Now I'm stuck in this restore loop. Thanks @apple for wasting my day. Can i undo?
negative,1.25E+17,Is it me or does #iPhone4s run a little warm sometimes? @apple
negative,1.25E+17,"@apple WTF why can we not add the newsstand to a folder?! We are already in your walled garden, so please don't remind us of it."
negative,1.25E+17,@apple just now seeing none of my Microsoft Office programs work anymore after Lion upgrade. Why??
negative,1.25E+17,"Dear @Apple, I don't want the newsstand icon on my screen. #notcool"
negative,1.25E+17,@Blackberry does take better quality photos than @Apple iPhone though. I give them that! #photograhersEye
negative,1.25E+17,Ok @iTunesMusic idk wth is up but after syncing my phone my album art is out of order! WTF @Apple!
negative,1.25E+17,I wish Siri could tweet for me . @apple fix that .
negative,1.25E+17,@apple I'm still waiting for you to deliver my phone to @sprint
negative,1.25E+17,I will never purchase another @Apple product for the rest of my life. I am glad Steve Jobs is fucking dead. MAY YOU FUCKING ROT IN HELL!!!!!
negative,1.25E+17,Thanks to @Apple my new iMac is a brick. I cannot re-install Lion and I cannot purchase it because it was installed by the former owner.
negative,1.25E+17,"Asked #Siri ""Where's Baby Lisa?"" and was told ""sorry, I'm having trouble connecting to the network right now."" @apple server fail. #ios5"
negative,1.25E+17,Only thing #iOS.5 has done is deleted my tiger woods game and made impossible to retrieve. Thanks @Apple!
negative,1.25E+17,Damn you @apple for breaking wififofum! It continued to work in ios 4. Was one of my most used apps. Damn Apple's overbearing policies!
negative,1.25E+17,"yo, @apple, this update is a disaster"
negative,1.25E+17,"Dear @Apple,Congratulations, I am suing my insurance company and you just managed to make it to the top of my shit list. #Ineedthosepictures"
negative,1.25E+17,Dear @Apple: You must let me turn off iCloud to save bandwidth and NOT delete EVERY document on my iPad. That's BULLSHIT!
negative,1.25E+17,"RT @JoelBurns: Dear @Apple, it's me again. Thank for beautiful new iOS features. But I miss some of the old ones. Lk making calls & texts
&gt;("
negative,1.25E+17,By far the worst experience upgrading out of any version of iOS @apple #iOS5
negative,1.25E+17,What happened? RT @xCuntNuggetx: Never purchasing another item from @apple.
negative,1.25E+17,Never purchasing another item from @apple.
negative,1.25E+17,"RT @leiboaz: Wow, worst @apple customer service experience ever. Arrogant and inept. Bad combo, Biltmore Apple store."
negative,1.25E+17,"Wow, worst @apple customer service experience ever. Arrogant and inept. Bad combo, Biltmore Apple store."
negative,1.25E+17,"Hey guys at @Apple, WTF is happening to #iPhone4, with #iOS5 suddenly fade to black and begin to vibrate continuously, I had to reboot it"
negative,1.25E+17,@hbogo @apple - why don't you play nice and let me use HDMI from iPad?  Pretty lame.
negative,1.25E+17,"Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade @apple @marcoarment"
negative,1.25E+17,"RT @JoelBurns: Dear @Apple, it's me again. Thanks for beautiful new iOS features. But I miss some of the old ones. Like making calls & t ..."
negative,1.25E+17,"…and only the first 23 images in my Photo Roll made it over? Seriously, @apple, how did you fuck this up so much?"
negative,1.25E+17,@apple why does #iPhone4 plus #iOS5 equal half the battery life?
negative,1.25E+17,@apple why isn't my iTunes updating? I just wanna update my iPhone to IOS5!!! Then iTunes says that it needs to update to do it. Then fails!
negative,1.25E+17,Now @apple won't let me use credit on @iTunes unless I have a credit card. Should have told me when I redeemed the cards. Sound fair to you?
negative,1.25E+17,"@amandbrar @apple Siri has worked for me less than 10% of the time. If service doesn't improve by Monday, I'm returning my iPhone 4S."
negative,1.25E+17,"@azrael: RT @DavideGori: And again #MobileMe is down. Issues when syncing, accessing mail... is this a good premise for #iCloud? @Apple, ..."
negative,1.25E+17,need @apple help!! installing new ios on #iphone4 and am stuck on the Find My iPhone screen :( i keep clicking next but it doesn't work
negative,1.25E+17,"Bummer that @Apple #iCloud syncs on Windows only w/ Outlook (not Thunderbird) & IE (not Firefox, Chrome). #sadmac"
negative,1.25E+17,@RonakKataria @apple you heard of testing before deploying updates. Difference between microsoft & apple: None
negative,1.25E+17,"Disappointing visual merchandising, @apple. Simple, but lacks elegance. And sequence doesn't even tell us about #Siri. http://t.co/XV2q3gfi"
negative,1.25E+17,has been on terminal hold with @apple support!  She must not be the only person having trouble with the new iphone and synching!
negative,1.25E+17,@apple thanks apple for ios 5 and losing all my contacts!
negative,1.25E+17,@apple give me my apps back!!!
